NUM IRIS EUCLEAD,,,,,,,,,,NUM IRIS HAMMING,,,,,,,,,,,,WCSS,silhouette,
,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,closest cluster distance,standarize distance,do,dm,anomaly,,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,standarize distance,do,dm,anomaly,,,,159.26,0.55423,eucleadean
1,9.7,6.1,10.5,3.9,6.5855,16.8934,7.5107,0.2978,TRUE,1,9.7,6.1,10.5,3.9,0.7706,4,0,FALSE,,,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
2,8.2,5.8,7.8,2.7,3.7289,8.6458,2.4221,0.3185,TRUE,2,8.2,5.8,7.8,2.7,0.7706,3,0.444,FALSE,,cluster 0,6.8346,3.0846,5.732,2.0743
3,11.2,6.7,9.5,4.6,,,,,,3,11.2,6.7,9.5,4.6,,,,,,,,,,
4,11.3,6.4,12.3,4.3,,,,,,4,11.3,6.4,12.3,4.3,,,,,,,,,,
5,9.8,4.7,12.2,3.2,,,,,,5,9.8,4.7,12.2,3.2,,,,,,,,,,
6,11.2,6.7,9.2,3.1,,,,,,6,11.2,6.7,9.2,3.1,,,,,,,,,,
7,10.9,4.6,11.5,4.9,,,,,,7,10.9,4.6,11.5,4.9,,,,,,,,,,
8,9.8,5.9,10.1,4.9,,,,,,8,9.8,5.9,10.1,4.9,,,,,,,,,,
9,9.6,5.8,8,4.6,,,,,,9,9.6,5.8,8,4.6,,,,,,,,,,
10,10.1,5.4,9,2.6,,,,,,10,10.1,5.4,9,2.6,,,,,,,,,,
11,10.1,6,12.1,4.5,,,,,,11,10.1,6,12.1,4.5,,,,,,,,,,
12,9.8,5,7.7,4.4,,,,,,12,9.8,5,7.7,4.4,,,,,,,,,,
13,11,4.4,11.1,3.8,,,,,,13,11,4.4,11.1,3.8,,,,,,,,,,
14,10.9,5,11.5,2.9,,,,,,14,10.9,5,11.5,2.9,,,,,,,,1056,0.34142,hamming
15,10.2,5.6,12.3,3.2,,,,,,15,10.2,5.6,12.3,3.2,,,,,,,,,,
16,9.9,4.7,8.3,4.1,,,,,,16,9.9,4.7,8.3,4.1,,,,,,,,,,
17,9.5,6.2,11,3.6,,,,,,17,9.5,6.2,11,3.6,,,,,,,,,,
18,9,5.1,8.4,4,,,,,,18,9,5.1,8.4,4,,,,,,,,,,
19,10.6,4.8,7.1,3.5,,,,,,19,10.6,4.8,7.1,3.5,,,,,,,,,,
20,11,4.9,8.3,4.1,,,,,,20,11,4.9,8.3,4.1,,,,,,,,,,
21,8.1,4.4,10.8,4.1,,,,,,21,8.1,4.4,10.8,4.1,,,,,,,,,,
22,10.1,5.2,11.6,3.4,,,,,,22,10.1,5.2,11.6,3.4,,,,,,,,,,
23,9.9,5.1,10.1,3.3,,,,,,23,9.9,5.1,10.1,3.3,,,,,,,,,,
24,9.9,6.3,12.4,3.3,,,,,,24,9.9,6.3,12.4,3.3,,,,,,,,,,
25,9.6,6.7,9.4,4.7,,,,,,25,9.6,6.7,9.4,4.7,,,,,,,,,,
26,10,4.8,7.3,3.4,,,,,,26,10,4.8,7.3,3.4,,,,,,,,,,
27,8.2,6.5,10.2,3.2,,,,,,27,8.2,6.5,10.2,3.2,,,,,,,,,,
28,9.6,5.9,11.4,2.8,,,,,,28,9.6,5.9,11.4,2.8,,,,,,,,,,
29,8.2,4.9,9.2,3.2,,,,,,29,8.2,4.9,9.2,3.2,,,,,,,,,,
30,9.6,5.7,10.7,5,,,,,,30,9.6,5.7,10.7,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ssd,,,,,,,,,,,,,,,,,
